0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:03:30 +0100] "GET /FXCjeu/ListeJeuxServlet HTTP/1.1" 200 13155
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:03:30 +0100] "GET /FXCjeu/js/uisearch.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:03:30 +0100] "GET /FXCjeu/js/move-top.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:03:30 +0100] "GET /FXCjeu/js/easing.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:03:30 +0100] "GET /FXCjeu/js/classie.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:03:30 +0100] "GET /FXCjeu/js/uisearch.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:03:30 +0100] "GET /FXCjeu/js/classie.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:03:30 +0100] "GET /FXCjeu/js/uisearch.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:03:31 +0100] "GET /FXCjeu/images/bg.jpg HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:03:31 +0100] "GET /FXCjeu/images/zelgaoot.jpg HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:03:34 +0100] "GET /FXCjeu/JeuServlet?idJeu=10 HTTP/1.1" 200 7445
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:03:34 +0100] "GET /FXCjeu/js/move-top.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:03:34 +0100] "GET /FXCjeu/js/easing.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:03:34 +0100] "GET /FXCjeu/js/classie.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:03:34 +0100] "GET /FXCjeu/js/uisearch.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:03:34 +0100] "GET /FXCjeu/images/imgTests/10.jpg HTTP/1.1" 200 138327
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:03:34 +0100] "GET /FXCjeu/js/classie.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:03:34 +0100] "GET /FXCjeu/js/uisearch.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:33 +0100] "GET /FXCjeu/JeuServlet?idJeu=10 HTTP/1.1" 200 7445
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:33 +0100] "GET /FXCjeu/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:33 +0100] "GET /FXCjeu/js/bootstrap.js HTTP/1.1" 200 68138
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:33 +0100] "GET /FXCjeu/js/move-top.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:33 +0100] "GET /FXCjeu/css/swipebox.css HTTP/1.1" 200 4413
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:33 +0100] "GET /FXCjeu/js/uisearch.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:33 +0100] "GET /FXCjeu/js/classie.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:33 +0100] "GET /FXCjeu/js/easing.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:33 +0100] "GET /FXCjeu/css/bootstrap.css HTTP/1.1" 200 136450
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:33 +0100] "GET /FXCjeu/css/style5.css HTTP/1.1" 200 4355
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:33 +0100] "GET /FXCjeu/css/formulaire.css HTTP/1.1" 200 2845
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:33 +0100] "GET /FXCjeu/css/style.css HTTP/1.1" 200 52062
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:33 +0100] "GET /FXCjeu/css/common.css HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:33 +0100] "GET /FXCjeu/js/responsiveslides.min.js HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:33 +0100] "GET /FXCjeu/js/easyResponsiveTabs.js HTTP/1.1" 200 5697
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:33 +0100] "GET /FXCjeu/js/jquery.flexisel.js HTTP/1.1" 200 8129
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:33 +0100] "GET /FXCjeu/js/jquery.swipebox.min.js HTTP/1.1" 200 7205
